Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
S04_Person_T012a_Person_AuditTrialHistory,10,11,7,20,20,23,7,23,0.000%,.01873,0.01,0.04
S04_Person_T012b_PersonAuditEntry_search,10,51,38,54,54,157,36,157,0.000%,.01873,0.11,0.04
S04_Person_T012z_AuditTrial,10,63,50,61,61,165,43,165,0.000%,.01873,0.12,0.08
S06_Company_T011z_SaveNotes,8,294,182,208,1070,1070,158,1070,0.000%,.01563,0.03,0.04
S03_Drugs_T009z_Country_keywordsearch,4,13,10,22,22,22,8,22,0.000%,.00844,0.01,0.02
S03_Drugs_T010z_Indication_keywordsearch,4,32,26,47,47,47,25,47,0.000%,.00844,0.02,0.02
S05_Organization_T014z_AllAssociatedTrials,9,11,8,18,27,27,7,27,0.000%,.01620,0.01,0.04
S03_Drugs_T011z_Company_keywordsearch,4,101,77,159,159,159,76,159,0.000%,.00844,0.74,0.02
S03_Drugs_T012a_api_drug_id,4,78,67,115,115,115,64,115,0.000%,.00844,0.00,0.03
S03_Drugs_T012b_drug_programlandscape,4,11,9,16,16,16,9,16,0.000%,.00844,0.00,0.02
S03_Drugs_T012z_Save_DrugProgramLandscapeStatus,4,89,77,124,124,124,77,124,0.000%,.00844,0.01,0.05
S04_Person_T013z_Publish,10,222,93,640,640,797,74,797,0.000%,.01873,0.09,0.04
S04_Person_T014a_Search,10,12,11,14,14,26,10,26,0.000%,.01873,0.12,0.04
S04_Person_T014b_PersonAdvanceSearch_Advancesearchcategory,10,7,7,9,9,9,6,9,0.000%,.01874,0.11,0.04
S04_Person_T014c_UserGroup_GetUsersAndUserGroupByQueueId,10,9,10,11,11,11,7,11,0.000%,.01873,0.01,0.04
S04_Person_T014d_Tasks_GetMasterData,10,7,7,8,8,9,6,9,0.000%,.01874,0.02,0.04
S04_Person_T014e_Person_unlockdata,10,25,24,27,27,40,21,40,0.000%,.01873,0.01,0.04
S06_Company_T012a_Company_AuditTrialHistory,8,10,7,15,22,22,6,22,0.000%,.01563,0.00,0.03
S07_Administrator_T008z_Ageing_Drugs,11,21,22,39,39,50,7,50,0.000%,.01971,0.02,0.04
S06_Company_T012b_CompanyAuditEntry_SearchAuditEntry,8,33,26,32,83,83,23,83,0.000%,.01563,0.10,0.04
S06_Company_T012z_AuditTrail,8,43,33,50,98,98,30,98,0.000%,.01563,0.10,0.07
S04_Person_T014f_PersonAdvanceSearch_advanceSearch,10,464,445,530,530,555,405,555,0.000%,.01872,0.62,0.04
S04_Person_T014z_PersonLandingPage,10,526,518,591,591,618,464,618,0.000%,.01872,0.89,0.24
S01_ClinicalTrials_T016z_Save_PatientPopulation,8,376,269,336,1077,1077,231,1077,0.000%,.01475,0.07,0.04
S03_Drugs_T013a_deliveryMedium,4,10,7,19,19,19,6,19,0.000%,.00844,0.04,0.02
S03_Drugs_T013b_deliveryTechnology,4,7,6,13,13,13,5,13,0.000%,.00844,0.04,0.02
S03_Drugs_T013c_deliveryRoute,4,6,6,7,7,7,6,7,0.000%,.00844,0.08,0.02
S05_Organization_T015z_SaveNotes,9,337,145,962,1074,1074,117,1074,0.000%,.01617,0.03,0.04
S03_Drugs_T013d_pharmacokineticsParameter,4,6,5,8,8,8,5,8,0.000%,.00844,0.02,0.02
S03_Drugs_T013e_drugGlobalStatus,4,5,5,6,6,6,5,6,0.000%,.00844,0.03,0.02
S03_Drugs_T013f_pharmacokineticsUnit,4,6,6,7,7,7,6,7,0.000%,.00844,0.12,0.02
S03_Drugs_T013z_ActivityTab,4,42,37,49,49,49,35,49,0.000%,.00844,0.32,0.10
S04_Person_T015b_authorization_user,10,23,21,27,27,44,17,44,0.000%,.01874,0.12,0.04
S04_Person_T015c_person_masterdata,10,14,14,17,17,19,12,19,0.000%,.01874,0.35,0.04
S01_ClinicalTrials_T017z_designKeywords_keywordsearch,8,7,7,9,9,9,7,9,0.000%,.01476,0.03,0.03
S06_Company_T013z_Publish,8,159,157,186,194,194,125,194,0.000%,.01563,0.03,0.03
S04_Person_T015d_Person_lockdata,10,36,28,44,44,94,20,94,0.000%,.01874,0.01,0.04
S04_Person_T015e_api_person_id,10,35,32,46,46,53,24,53,0.000%,.01874,0.09,0.04
S04_Person_T015z_Click_Edit_Icon_of_AnyPerson,10,109,99,127,127,153,76,153,0.000%,.01873,0.56,0.15
S05_Organization_T016a_Organization_AuditTrialHistory,9,9,7,9,22,22,6,22,0.000%,.01617,0.00,0.03
S03_Drugs_T014z_MechanismOfAction_keywordsearch,4,35,32,46,46,46,29,46,0.000%,.00844,0.03,0.02
S03_Drugs_T015z_Target_keywordsearch,4,8,7,10,10,10,7,10,0.000%,.00844,0.00,0.02
S03_Drugs_T016z_TargetFamily_keywordsearch,4,7,7,9,9,9,6,9,0.000%,.00844,0.00,0.02
S03_Drugs_T017z_TherapeuticClass_keywordsearch,4,8,8,10,10,10,7,10,0.000%,.00844,0.23,0.02
S05_Organization_T016b_OrganizationAuditEntry_SearchAuditEntry,9,64,48,73,178,178,38,178,0.000%,.01617,0.09,0.04
S05_Organization_T016z_AuditTrial,9,73,60,82,185,185,45,185,0.000%,.01617,0.09,0.07
S03_Drugs_T018z_Save_ActivityTab,4,183,173,211,211,211,154,211,0.000%,.00844,0.04,0.05
S07_Administrator_T009z_Ageing_Trials,11,30,21,33,33,143,10,143,0.000%,.01970,0.68,0.04
S06_Company_T014a_Search,8,73,38,148,150,150,20,150,0.000%,.01563,0.05,0.03
S06_Company_T014b_UserGroup_GetUsersAndUserGroupByQueueId,8,13,10,18,30,30,8,30,0.000%,.01564,0.01,0.03
S06_Company_T014c_Tasks_GetMasterData,8,7,7,8,13,13,5,13,0.000%,.01564,0.01,0.03
S06_Company_T014d_CompanyAdvanceSearch_Advancesearchcategory,8,7,7,8,9,9,5,9,0.000%,.01564,0.04,0.03
S04_Person_T016z_Add_Note&Save,10,92,86,109,109,115,76,115,0.000%,.01874,0.09,0.04
S06_Company_T014e_Company_unlockdata,8,27,25,34,38,38,20,38,0.000%,.01564,0.01,0.03
S06_Company_T014f_CompanyAdvanceSearch_advanceSearch,8,18,17,19,27,27,17,27,0.000%,.01564,0.20,0.04
S06_Company_T014z_CompanyLandingPage,8,147,113,222,234,234,85,234,0.000%,.01563,0.33,0.20
S01_ClinicalTrials_T018z_Save_TreatmentPlan,8,293,286,307,373,373,258,373,0.000%,.01475,0.07,0.04
S05_Organization_T017z_Publish,9,532,136,1776,2047,2047,113,2047,0.000%,.01617,0.03,0.04
S03_Drugs_T019a_CountryGroup,4,8,8,10,10,10,7,10,0.000%,.00844,0.01,0.02
S03_Drugs_T019b_Country,4,15,14,16,16,16,14,16,0.000%,.00844,0.74,0.02
S03_Drugs_T019z_DrugLicensingAvailabilityTab,4,23,22,26,26,26,21,26,0.000%,.00844,0.75,0.03
S09_ComplexSearch_T006z_ClinicalTrials_MultipleCategories,9,11057,10863,11763,11996,11996,10647,11996,0.000%,.01598,0.98,0.07
S09_ComplexSearch_T007z_Drug_Ids_500Plus,9,278,262,345,372,372,215,372,0.000%,.01632,0.82,1.31
S06_Company_T015b_authorization_user,8,22,20,27,28,28,18,28,0.000%,.01564,0.10,0.03
S04_Person_T017a_Person_unlockdata,10,27,25,35,35,36,22,36,0.000%,.01874,0.01,0.04
S06_Company_T015c_company_masterdata,8,7,7,8,9,9,6,9,0.000%,.01564,0.04,0.03
S04_Person_T017b_PersonAdvanceSearch_Advancesearchcategory,10,6,6,7,7,8,5,8,0.000%,.01874,0.11,0.04
S04_Person_T017c_Tasks_GetMasterData,10,9,8,15,15,19,6,19,0.000%,.01874,0.02,0.04
S04_Person_T017d_Search,10,9,8,11,11,15,7,15,0.000%,.01874,0.12,0.04
S04_Person_T017e_UserGroup_GetUsersAndUserGroupByQueueId,10,12,9,22,22,28,8,28,0.000%,.01874,0.01,0.04
S06_Company_T015d_api_company_companyId,8,68,67,75,86,86,56,86,0.000%,.01564,0.03,0.03
S04_Person_T017f_Person_unlockdata,10,27,24,35,35,47,21,47,0.000%,.01874,0.01,0.04
S06_Company_T015e_Company_lockdata,8,27,22,43,45,45,20,45,0.000%,.01564,0.01,0.03
S06_Company_T015z_Click_Edit_Icon_of_AnyCompany,8,125,120,138,148,148,108,148,0.000%,.01563,0.17,0.13
S01_ClinicalTrials_T019z_organization_keywordsearch,8,456,379,464,904,904,345,904,0.000%,.01475,0.27,0.03
S04_Person_T017g_PersonAdvanceSearch_advanceSearch,10,464,448,519,519,611,385,611,0.000%,.01873,0.62,0.04
S04_Person_T017z_PersonTab,10,558,527,605,605,738,488,738,0.000%,.01872,0.89,0.28
S05_Organization_T018a_OrganizationAdvanceSearch_Advancesearchcategory,8,10,8,10,24,24,7,24,0.000%,.01645,0.06,0.03
S05_Organization_T018b_Search,8,13,13,16,19,19,9,19,0.000%,.01645,0.08,0.03
S07_Administrator_T010z_Ageing_Person,10,24,8,31,31,128,7,128,0.000%,.01989,0.01,0.04
S05_Organization_T018c_Tasks_GetMasterData,8,6,6,7,8,8,5,8,0.000%,.01645,0.02,0.03
S05_Organization_T018d_Organization_unlockdata,8,26,23,29,48,48,20,48,0.000%,.01645,0.01,0.04
S05_Organization_T018e_UserGroup_GetUsersAndUserGroupByQueueId,8,10,9,12,25,25,7,25,0.000%,.01645,0.01,0.03
S05_Organization_T018f_OrganizationAdvanceSearch_advanceSearch,8,92,88,104,130,130,79,130,0.000%,.01645,0.57,0.04
S05_Organization_T018z_OrgLandingPage,8,159,143,194,198,198,131,198,0.000%,.01645,0.74,0.21
S03_Drugs_T020z_Save_DrugLicensingAvailability,4,211,189,273,273,273,164,273,0.000%,.00844,0.04,0.03
S01_ClinicalTrials_T020z_person_keywordsearch,8,734,557,656,1818,1818,506,1818,0.000%,.01474,1.20,0.03
S09_ComplexSearch_T008z_Drug_Name10,9,3257,3205,3324,3696,3696,3122,3696,0.000%,.01623,0.83,0.07
S01_ClinicalTrials_T021z_Save_Association,8,392,289,378,969,969,261,969,0.000%,.01476,0.08,0.04
S09_ComplexSearch_T009z_Drug_DPLDisease_10,9,251,232,244,395,395,228,395,0.000%,.01634,1.48,0.07
S01_ClinicalTrials_T022z_Save_TrialResult,8,638,457,561,1881,1881,416,1881,0.000%,.01472,0.09,0.04
S06_Company_T016z_Add_Note&Save,8,265,184,234,828,828,160,828,0.000%,.01563,0.03,0.04
S04_Person_T018b_authorization_user,10,34,26,53,53,70,19,70,0.000%,.01875,0.12,0.04
S04_Person_T018c_person_masterdata,10,17,16,20,20,31,13,31,0.000%,.01875,0.35,0.04
S04_Person_T018z_CreateNewPerson,10,52,42,76,76,86,33,86,0.000%,.01875,0.47,0.08
S05_Organization_T019b_authorization_user,8,21,20,24,30,30,18,30,0.000%,.01645,0.10,0.03
S05_Organization_T019c_Organization_lockdata,8,23,21,30,31,31,20,31,0.000%,.01645,0.01,0.04
S05_Organization_T019d_Organization_masterdata,8,9,9,9,15,15,7,15,0.000%,.01645,0.02,0.03
S05_Organization_T019e_api_Organization_id,8,54,54,57,58,58,51,58,0.000%,.01645,0.03,0.03
S05_Organization_T019z_Click_Edit_Icon_of_AnyOrg,8,108,111,114,115,115,98,115,0.000%,.01645,0.16,0.14
S03_Drugs_T021a_CountryGroup,4,11,7,23,23,23,6,23,0.000%,.00845,0.01,0.02
S03_Drugs_T021b_drug_programlandscapedisease,4,10,7,18,18,18,7,18,0.000%,.00845,0.00,0.02
S03_Drugs_T021c_eventTypes,4,6,6,7,7,7,5,7,0.000%,.00845,0.07,0.02
S03_Drugs_T021d_drug_programlandscapecoutries,4,6,6,9,9,9,6,9,0.000%,.00845,0.00,0.02
S03_Drugs_T021e_drug_programlandscapecompany,4,5,5,7,7,7,5,7,0.000%,.00845,0.00,0.02
S03_Drugs_T021f_Country,4,12,12,15,15,15,11,15,0.000%,.00845,0.74,0.02
S03_Drugs_T021z_EventsTab,4,52,46,63,63,63,43,63,0.000%,.00844,0.83,0.10
S06_Company_T017a_Company_unlockdata,8,27,22,36,51,51,21,51,0.000%,.01564,0.01,0.03
S06_Company_T017b_armType,8,112,9,24,824,824,8,824,0.000%,.01564,0.01,0.03
S06_Company_T017z_AncillaryDataTab,8,140,31,60,875,875,29,875,0.000%,.01563,0.02,0.06
S07_Administrator_T011z_Ageing_Company,10,12,9,20,20,21,8,21,0.000%,.01991,0.03,0.04
S01_ClinicalTrials_T023z_Save_Note,8,591,475,740,1139,1139,420,1139,0.000%,.01472,0.10,0.04
S04_Person_T019z_Specialties_keywordsearch,10,10,8,16,16,20,7,20,0.000%,.01875,0.02,0.04
S09_ComplexSearch_T010z_Drug_MultipleCategories,9,4310,4290,4369,4443,4443,4217,4443,0.000%,.01622,0.18,0.07
S04_Person_T020z_Organization_keywordsearch,10,419,385,445,445,691,353,691,0.000%,.01873,0.32,0.04
S04_Person_T021z__Save_Basic&Contact_Info,10,52,51,57,57,67,43,67,0.000%,.01874,0.07,0.07
S09_ComplexSearch_T011z_Company_Ids_500Plus,8,284,259,332,412,412,232,412,0.000%,.01666,0.22,1.37
S09_ComplexSearch_T012z_Company_Name_10,8,243,231,268,278,278,223,278,0.000%,.01666,0.05,0.07
S09_ComplexSearch_T013z_Company_StockExchange_10,8,87,82,100,108,108,73,108,0.000%,.01667,0.22,0.07
S03_Drugs_T022z_Save_Events,4,508,206,917,917,917,177,917,0.000%,.00843,0.06,0.03
S05_Organization_T020z_Add_Note&Save,8,278,130,156,1297,1297,120,1297,0.000%,.01645,0.03,0.04
S06_Company_T018a_researchFocus,8,7,7,9,12,12,6,12,0.000%,.01564,0.03,0.03
S06_Company_T018b_ancillary_company_quickSearch,8,126,85,96,421,421,73,421,0.000%,.01563,0.45,0.03
S06_Company_T018z_CompanySection,8,134,92,108,427,427,80,427,0.000%,.01563,0.48,0.07
S01_ClinicalTrials_T024a_ClinicalTrialAuditEntry_search,8,11,11,12,17,17,9,17,0.000%,.01473,0.23,0.03
S04_Person_T022z_Save_RegulatoryAction,10,328,85,641,641,1934,70,1934,0.000%,.01868,0.08,0.05
S01_ClinicalTrials_T024b_ClinicalTrial_AuditTrialHistory,8,150,27,47,997,997,24,997,0.000%,.01473,0.00,0.03
S01_ClinicalTrials_T024z_AuditTrial,8,162,37,64,1009,1009,36,1009,0.000%,.01473,0.24,0.06
S09_ComplexSearch_T014z_Company_MultipleCategories,8,3143,2985,3672,3701,3701,2627,3701,0.000%,.01654,0.22,0.07
S03_Drugs_T023a_OriginOfMaterial,4,7,7,9,9,9,6,9,0.000%,.00844,0.06,0.02
S03_Drugs_T023b_Country,4,84,13,295,295,295,12,295,0.000%,.00844,0.74,0.02
S03_Drugs_T023z_ChemicalDataTab,4,92,21,301,301,301,19,301,0.000%,.00844,0.80,0.03
S09_ComplexSearch_T015z_Person_Ids_500Plus,8,241,219,284,295,295,203,295,0.000%,.01666,0.55,1.37
S05_Organization_T021a_OrganizationAdvanceSearch_Advancesearchcategory,8,10,7,9,26,26,7,26,0.000%,.01649,0.06,0.03
S05_Organization_T021b_UserGroup_GetUsersAndUserGroupByQueueId,8,16,11,24,38,38,9,38,0.000%,.01649,0.01,0.03
S05_Organization_T021c_Tasks_GetMasterData,8,6,6,7,8,8,5,8,0.000%,.01649,0.02,0.03
S05_Organization_T021d_Search,8,11,9,11,27,27,7,27,0.000%,.01649,0.08,0.03
S05_Organization_T021e_Organization_unlockdata,8,27,22,26,65,65,18,65,0.000%,.01649,0.01,0.04
S05_Organization_T021f_OrganizationAdvanceSearch_advanceSearch,8,98,90,128,129,129,78,129,0.000%,.01649,0.57,0.04
S05_Organization_T021z_OrgLandingPage,8,169,157,198,199,199,127,199,0.000%,.01649,0.75,0.21
S07_Administrator_T012z_Ageing_Organization,10,14,9,29,29,33,6,33,0.000%,.01992,0.01,0.04
S06_Company_T019z_Country_keywordsearch,8,8,9,10,11,11,7,11,0.000%,.01563,0.02,0.03
S06_Company_T020a_ancillary_company,8,87,86,95,108,108,71,108,0.000%,.01563,0.01,0.03
S06_Company_T020b_ancillary_company_quickSearch,8,95,92,103,154,154,61,154,0.000%,.01563,0.45,0.03
S06_Company_T020z_AddCompany,8,182,183,189,225,225,154,225,0.000%,.01563,0.46,0.07
S04_Person_T023z_SaveNotes,10,84,82,97,97,98,72,98,0.000%,.01868,0.08,0.04
S01_ClinicalTrials_T025z_Publish,8,633,544,703,1251,1251,439,1251,0.000%,.01475,0.10,0.04
S01_ClinicalTrials_T026a_Tasks_GetMasterData,7,18,19,23,24,24,9,24,0.000%,.01509,0.01,0.03
S01_ClinicalTrials_T026b_Search,7,14,15,20,24,24,8,24,0.000%,.01509,0.11,0.03
S01_ClinicalTrials_T026c_UserGroup_GetUsersAndUserGroupByQueueId,7,11,9,11,21,21,8,21,0.000%,.01509,0.01,0.03
S01_ClinicalTrials_T026d_ClinicalTrialAdvanceSearch_advancedsearchcategory,7,8,8,9,14,14,6,14,0.000%,.01509,0.12,0.03
S01_ClinicalTrials_T026e_ClinicalTrial_unlockdata,7,24,24,27,44,44,16,44,0.000%,.01509,0.01,0.03
S01_ClinicalTrials_T026f_ClinicalTrialAdvanceSearch_advanceSearch,7,227,228,241,257,257,206,257,0.000%,.01508,0.82,0.03
S01_ClinicalTrials_T026z_ClinicalTrials_LandingPage,7,304,299,329,338,338,277,338,0.000%,.01508,1.08,0.19
S05_Organization_T022b_authorization_user,8,25,22,26,44,44,20,44,0.000%,.01649,0.10,0.03
S05_Organization_T022c_Organization_masterdata,8,197,8,20,1516,1516,7,1516,0.000%,.01644,0.02,0.03
S05_Organization_T022z_NewOrganization,8,223,33,51,1538,1538,27,1538,0.000%,.01644,0.12,0.07
S03_Drugs_T024z_Save_ChemicalData,4,399,313,648,648,648,288,648,0.000%,.00843,0.06,0.02
S06_Company_T021a_api_company_companyId,8,16,14,22,30,30,11,30,0.000%,.01563,0.02,0.03
S06_Company_T021b_company_masterdata,8,6,6,7,7,7,5,7,0.000%,.01563,0.04,0.03
S06_Company_T021c_Company_lockdata,8,22,20,29,30,30,18,30,0.000%,.01563,0.01,0.03
S06_Company_T021z_OpenCompany,8,45,42,55,56,56,36,56,0.000%,.01563,0.06,0.10
S09_ComplexSearch_T016z_Person_FirstName&LastName_10,8,4959,4903,5122,5163,5163,4769,5163,0.000%,.01649,0.22,0.10
S04_Person_T024a_Person_AuditTrialHistory,10,8,7,10,10,16,5,16,0.000%,.01868,0.01,0.04
S04_Person_T024b_PersonAuditEntry_search,10,39,37,41,41,54,34,54,0.000%,.01868,0.07,0.04
S04_Person_T024z_AuditTrial,10,47,44,57,57,62,40,62,0.000%,.01868,0.08,0.08
S09_ComplexSearch_T017z_Person_Email&Notes,8,474,461,497,537,537,454,537,0.000%,.01664,0.01,0.07
S01_ClinicalTrials_T027b_authorization_user,7,21,20,23,26,26,19,26,0.000%,.01508,0.09,0.03
S01_ClinicalTrials_T027c_ClinicalTrial_lockdata,7,20,19,23,24,24,17,24,0.000%,.01508,0.01,0.03
S01_ClinicalTrials_T027d_ClinicalTrial_Masters,7,24,21,29,31,31,20,31,0.000%,.01508,0.72,0.03
S01_ClinicalTrials_T027e_api_ClinicalTrial_Id,7,207,193,209,315,315,173,315,0.000%,.01508,0.10,0.03
S01_ClinicalTrials_T027z_Click_Edit_Icon_of_AnyClinicalTrial,7,272,251,281,383,383,237,383,0.000%,.01508,0.92,0.12
S07_Administrator_T013a_Queue_Masters,10,19,15,26,26,41,12,41,0.000%,.01991,0.78,0.04
S07_Administrator_T013b_Queue,10,12,12,15,15,16,11,16,0.000%,.01991,1.55,0.04
S07_Administrator_T013z_QueueSetup,10,32,28,37,37,52,26,52,0.000%,.01990,2.33,0.08
S05_Organization_T023z_Save_Basic&Additional_Info,8,215,213,237,245,245,194,245,0.000%,.01644,0.02,0.04
S03_Drugs_T025z_Save_Marketing,4,312,305,370,370,370,269,370,0.000%,.00844,0.06,0.02
S06_Company_T022z_Save_Basic&Contact_Info,8,44,41,51,52,52,38,52,0.000%,.01563,0.02,0.04
S04_Person_T025z_Publish,10,93,87,102,102,150,77,150,0.000%,.01868,0.08,0.04
S01_ClinicalTrials_T028z_Add_Note&Save,7,677,587,657,1310,1310,452,1310,0.000%,.01507,0.10,0.04
S05_Organization_T024z_Country_keywordsearch,8,9,9,10,16,16,8,16,0.000%,.01645,0.02,0.04
S05_Organization_T025z_Save_Address,8,502,300,909,1203,1203,252,1203,0.000%,.01644,2.56,0.05
S03_Drugs_T026z_Save_Phases,4,286,256,360,360,360,240,360,0.000%,.00844,0.06,0.02
S01_ClinicalTrials_T029a_ClinicalTrialAdvanceSearch_advancedsearchcategory,7,113,7,8,751,751,6,751,0.000%,.01509,0.12,0.03
S01_ClinicalTrials_T029b_UserGroup_GetUsersAndUserGroupByQueueId,7,11,11,12,19,19,9,19,0.000%,.01509,0.01,0.03
S01_ClinicalTrials_T029c_Tasks_GetMasterData,7,6,6,8,8,8,6,8,0.000%,.01509,0.01,0.03
S01_ClinicalTrials_T029d_Search,7,8,8,10,10,10,7,10,0.000%,.01509,0.11,0.03
S01_ClinicalTrials_T029e_ClinicalTrial_unlockdata,7,21,22,24,24,24,18,24,0.000%,.01509,0.01,0.03
S01_ClinicalTrials_T029f_ClinicalTrialAdvanceSearch_advanceSearch,7,238,249,275,280,280,196,280,0.000%,.01508,0.82,0.03
S01_ClinicalTrials_T029z_ClinicalTrials_LandingPage,7,399,305,335,1011,1011,250,1011,0.000%,.01508,1.08,0.19
S05_Organization_T026z_SaveNotes,8,327,220,410,1106,1106,113,1106,0.000%,.01644,0.03,0.04
S06_Company_T023z_AssociationsTab,8,11,12,13,14,14,10,14,0.000%,.01564,0.01,0.03
S03_Drugs_T027z_Save_URLs,4,306,288,353,353,353,276,353,0.000%,.00844,0.06,0.02
S09_ComplexSearch_T018z_Person_MultipleCategories,8,9124,9109,9198,9408,9408,8963,9408,0.000%,.01635,0.53,0.07
S09_ComplexSearch_T019z_Org_Site_Ids_500Plus,8,221,217,233,246,246,201,246,0.000%,.01665,0.55,1.36
S01_ClinicalTrials_T030b_authorization_user,7,23,19,30,42,42,16,42,0.000%,.01508,0.09,0.03
S01_ClinicalTrials_T030c_ClinicalTrial_Masters,7,34,29,39,64,64,22,64,0.000%,.01508,0.72,0.03
S01_ClinicalTrials_T030z_NewClinicalTrial,7,57,47,81,83,83,41,83,0.000%,.01508,0.82,0.06
S05_Organization_T027a_Organization_AuditTrialHistory,8,8,7,8,18,18,6,18,0.000%,.01644,0.00,0.03
S05_Organization_T027b_OrganizationAuditEntry_SearchAuditEntry,8,43,40,45,61,61,37,61,0.000%,.01644,0.06,0.04
S05_Organization_T027z_AuditTrial,8,51,47,53,79,79,43,79,0.000%,.01644,0.07,0.07
S06_Company_T024z_SaveNotes,8,283,178,300,961,961,139,961,0.000%,.01563,0.02,0.04
S03_Drugs_T028z_NotesTab,4,7,6,9,9,9,6,9,0.000%,.00845,0.00,0.02
S09_ComplexSearch_T020z_Org_SiteName_10,8,3658,3651,3666,3778,3778,3585,3778,0.000%,.01652,0.11,0.08
S09_ComplexSearch_T021z_Org_CoutryStateCity,8,130,127,143,144,144,120,144,0.000%,.01664,0.45,0.06
S01_ClinicalTrials_T031z_diseaseType_keywordsearch,7,10,8,8,29,29,7,29,0.000%,.01509,0.08,0.03
S01_ClinicalTrials_T032z_DrugPrimaryName,7,82,79,84,101,101,77,101,0.000%,.01508,0.45,0.03
S09_ComplexSearch_T022z_Org_MultipleCategories,8,1346,1285,1498,1506,1506,1266,1506,0.000%,.01659,0.50,0.07
S01_ClinicalTrials_T033z_sponsor_keywordsearch,7,73,74,77,85,85,66,85,0.000%,.01508,0.24,0.03
S05_Organization_T028z_Publish,8,248,132,151,1099,1099,103,1099,0.000%,.01644,0.03,0.04
S01_ClinicalTrials_T034z_Save_TrialSummary,7,108,90,135,171,171,78,171,0.000%,.01508,0.04,0.05
S06_Company_T025a_CompanyAuditEntry_SearchAuditEntry,8,29,25,38,38,38,24,38,0.000%,.01564,0.03,0.04
S06_Company_T025b_Company_AuditTrialHistory,8,6,6,7,8,8,6,8,0.000%,.01564,0.00,0.03
S06_Company_T025z_AuditTrail,8,36,32,44,44,44,30,44,0.000%,.01564,0.04,0.07
S03_Drugs_T029z_Save_Notes,4,545,400,991,991,991,361,991,0.000%,.00844,0.06,0.02
S06_Company_T026z_Publish,8,179,179,195,229,229,137,229,0.000%,.01563,0.02,0.03
S01_ClinicalTrials_T035z_organization_keywordsearch,7,441,414,443,782,782,331,782,0.000%,.01508,0.28,0.03
S03_Drugs_T030z_Associations_AssociatedTrials,4,32,28,48,48,48,23,48,0.000%,.00845,0.00,0.02
S01_ClinicalTrials_T036z_Save_Association,7,296,301,326,334,334,240,334,0.000%,.01508,0.05,0.04
S03_Drugs_T031z_Associations_AssociatedDrugs,4,40,39,45,45,45,36,45,0.000%,.00845,0.00,0.02
S01_ClinicalTrials_T037a_ClinicalTrial_AuditTrialHistory,7,31,31,35,40,40,23,40,0.000%,.01509,0.00,0.03
S01_ClinicalTrials_T037b_ClinicalTrialAuditEntry_search,7,8,9,9,10,10,8,10,0.000%,.01509,0.05,0.04
S01_ClinicalTrials_T037z_AuditTrial,7,40,41,44,49,49,31,49,0.000%,.01509,0.05,0.07
S03_Drugs_T032a_Drug_AuditTrialHistory,4,9,7,16,16,16,6,16,0.000%,.00845,0.00,0.02
S03_Drugs_T032b_AuditEntry_SearchAuditEntry,4,103,63,220,220,220,36,220,0.000%,.00845,0.09,0.02
S03_Drugs_T032z_AuditTrial,4,112,69,236,236,236,43,236,0.000%,.00845,0.09,0.04
S01_ClinicalTrials_T038z_Publish,7,300,280,333,380,380,257,380,0.000%,.01508,0.05,0.04
S03_Drugs_T033z_Publish,4,450,422,552,552,552,398,552,0.000%,.00844,0.06,0.02
S03_Drugs_T034a_Drug_DrugTypes,4,6,6,7,7,7,5,7,0.000%,.00845,0.01,0.02
S03_Drugs_T034b_DrugsAdvanceSearch_advancedsearchcategory,4,65,7,237,237,237,7,237,0.000%,.00845,0.07,0.02
S03_Drugs_T034c_Search,4,48,24,129,129,129,18,129,0.000%,.00845,0.08,0.02
S03_Drugs_T034d_Tasks_GetMasterData,4,6,6,7,7,7,6,7,0.000%,.00845,0.01,0.02
S03_Drugs_T034e_UserGroup_GetUsersAndUserGroupByQueueId,4,14,10,31,31,31,7,31,0.000%,.00845,0.01,0.02
S03_Drugs_T034f_Drug_unlockdata,4,22,17,39,39,39,16,39,0.000%,.00844,0.00,0.02
S03_Drugs_T034g_DrugsAdvanceSearch_advanceSearch,4,1922,1912,1967,1967,1967,1864,1967,0.000%,.00841,0.43,0.02
S03_Drugs_T034z_DrugsLandingPage,4,2085,2041,2208,2208,2208,1972,2208,0.000%,.00841,0.59,0.12
S03_Drugs_T035b_authorization_user,4,25,24,31,31,31,20,31,0.000%,.00845,0.05,0.02
S03_Drugs_T035c_Drug_lockdata,4,26,17,38,38,38,16,38,0.000%,.00845,0.00,0.02
S03_Drugs_T035d_drug_MasterData,4,5,5,7,7,7,5,7,0.000%,.00845,0.04,0.02
S03_Drugs_T035e_api_drug_id,4,156,143,177,177,177,142,177,0.000%,.00844,0.06,0.02
S03_Drugs_T035z_Click_Edit_Icon_of_AnyDrug,4,213,187,252,252,252,185,252,0.000%,.00844,0.15,0.07
S03_Drugs_T036z_Add_Note&Save,4,615,402,965,965,965,369,965,0.000%,.00844,0.06,0.02
S03_Drugs_T037a_Tasks_GetMasterData,4,7,7,8,8,8,7,8,0.000%,.00845,0.01,0.02
S03_Drugs_T037b_Search,4,9,9,13,13,13,8,13,0.000%,.00845,0.08,0.02
S03_Drugs_T037c_UserGroup_GetUsersAndUserGroupByQueueId,4,9,9,11,11,11,9,11,0.000%,.00845,0.01,0.02
